구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
,굿,"맛있어요 맛집임
블로그후기도남김 맛있어서..
다음에 또 갈게요
분위기도좋아요",유케동이 맛있어용:),,,믿고 먹는 치킨집입니다! 친구들이랑 오는거 추천! 양 많고 맛잇어요,,맛있어요~~~!! :):),"맵찔이라 친구가 자꾸 여기가자고해서 걱정걱정하며왔는데 매운단계가 잘나눠져있어서 맵찔이도 편하게먹을수있었습니다
감사합니다????",다이어트 음식이고 단백질 보충에 좋아요!!,,"맛있고 친절해서 기분 좋은 식사 하고 나왔습니다!
점심시간 공기밥 무한리필에
반찬 및 쌈채소 셀프바까지 마음에 들었습니다ㅎㅎ",여러가지 먹을수잇어사 좋아요 굿
,쌀국수 맛있어요.,피자가 가장 맛있었어요!,맛이 별로..,,,양도 많고 맛있어요 자주옵니다!,,"자주 오는곳인데 항상 너무 맛있고 건강하게 먹구가요!
소스도 맛있구 후식으로 칼국수랑 죽도 배부르게 먹었습니다
내부 인테리어가 취향 저격이네요ㅎㅎ",갈비찜 좋아하는 일행도 인정할만큼 맛있게 먹고 왔습니다~ 친절하게 대해주셔서 더 좋았어요!,종류도 다양하고 건강한 음식 많아서 좋아요!! 다음에 또 올거같아요!,,"친구추천으로 다녀왔는데
요기 진짜 찐이에요 오징어 싱싱
튀김도 맛있고 무침도 보쌈도 굿!!
세트구성으로 시켜드세요
구성좋고
숭늉 레몬에이드 밥 무제한 샐러드바까지있어
너무 좋아요
대학가에 최적의 장소라
회식 추천!
후기보심 꼭 가보서요 강추!!",정말 너무 맛있습니다…화로상회 신촌점이 존재한다는 것에..감동이 쓰나미처럼 몰려오네요.. 사장님 이 자리에서 평생 장사해주세요?? 고기가 익을 동안 먹은 비빔냉면의 맛이 오늘따라 더 감동이더라구요.. 아 진짜 동치미 육수 주시는거 매번 감탄하게 돼요?? 너무 촉촉하고 맛있ㅠ비빔장 소스 정보 좀 묻고 싶을 정도ㅠ 그리고 파무침도 오늘 레전드로 아삭거려서 너무 행복했습니다ㅠ 평소에도 싱싱했는데 오늘따라 애들이 살아있는 것처럼 생생하더라구요!! 달콤이+매콤이 소스랑 너무 잘어올립니다. 그리고 고기..아진짜 막창 너무 맛있어요.. 이 세상에 존재할 수 없는 고소함이 여기에 다 있습니다 삼겹살도 진짜..집에서는 이 맛이 안나요ㅠ 화로싱회 때문에 눈 높아졌어요?? 갈비도 최고(대각선에 위치한 전문점 안부럽)번창하세요!
,"여기 찐이에요!!
쌀국수에 빨간고추랑 고수추가해서 넣어 먹으면…끝나요????
날이 좋으니 땡기네요??
5시45분쯤에 들어갔는데 거의 만석이었어요!!",무지 맛있어요,굿~,,,양도 푸짐하고 분위기도 너무 좋아요~~ 조만간 또 방문할게요~~,,닭한마리 맛나요~,감사히 잘 먹었습니다,음식 간단하고 건강하게 먹을 수 있어서 항상 애용 중이에요.!!!,,"오적한상 완전 강추
오징어를 온몸으로 느낄수 있는 곳
양도 많아서 3~4명에서 충분히 맛있게 먹을수 있어요
또 먹고싶네요 ㅎㅎ
자주 가겠습니다!",맛은있는데 굽는데 너무 시간이 오래 걸려요...
,"회사에서 멀지 않아 베트남 음식 먹고 싶을 때 간간히 찾는 곳..
항상 맛있게 잘 먹습니다
오늘 같이 간 지인은 해장한다며 쌀국수 국물을 흡입하시네요 ㅎ
근무하시는 분들도 다 친절하시고 찾을 때마다 기분좋고 맛있게 잘 먹고 옵니다",,"김치치즈가츠동,규동 자주 먹는데 넘 맛있어요!!!!",,,맛잇어영,,추운데 날씨 덕에 뜨끈뜨끈한 국물 생각 났는데 너무 맛있게 잘 먹었습니다!,맛있게 잘 먹고왔어요^.^,신선하고 맛있어요!,,,"인생 고깃집입니다!?? 고기는 너무 완벽해서 더 이상 설명할게 없,,그리고 여기 사실 냉면 맛집입니다.. 비빔냉면 꼭 드세요!! 갈비냉면집 안가셔도 됩니다 진짜?? 너무 맛있어요ㅠㅠ 오픈때부터 다녔으니까 2년 정도 된 것 같아요. 사장님의 첫 인상은 곰도 때려잡으실 것 같은..ㅋㅎㅋㅎ포스 넘치는 분이셨는데ㅋㅋㅋ엄청 유쾌하시고 친절하세요! 매장도 청결하고( 테이블이 늘 반짝거려요.) 무한리필임에도 고기 상태가 정말 좋아요! 그래서 지인들을 데려가도 걱정 1도 안되는 인생 맛집입니다?? 또 강조하자면 냉면을 꼭 드십시오. 된장찌개도 진짜 맛있어뇨.. 그래서 어떤 지역의 고깃집을 가도 늘 신촌 화로상회가 제 머릿속 연관으로 떠올라요. 푸짐한 구성에 맛까지 다 챙겨주셔서 늘 감사하게 먹고 있습니다~! 번창하세요!!"
,현지인 분들이 하시는곳으로 진짜 맛있어요,너무너무너무 맛있어요..,맛있어요,,,후라이드 반 간장 반 시켰는데 바삭바삭하고 넘 맛있어요~! 소스도 다양하게 나와서 맛있게 먹었습니다~~,,맛나요,와 여기는 다른 체인점들보다 너무 맛나요 ?? 기뷴탓일까요?,맛이있어요!!!!!!!!!!,,"풍성함에 한 번, 맛에 두 번!! 놀란 오적회관의 시그니처 메뉴 오적한상 ????
맵찔이 부담없이 먹을 수 있는 돌판오징어볶음은 완전 밥도둑~ 엄마가 해주던 그 맛 그대로ㅎㅎ?
오징어튀김은 겉은 바삭! 속은 오동통한 오징어가 큼직하게 들어있어요! 여기가 바로 오징어튀김 맛집 ???
오징어랑 수육을 함께 먹는 건 처음인데 백묵은지에 꽃삼겹수육, 오징어무침을 싸먹으면 풍미 가득~ 아주 든든한 맛도리 조합 ?????
식사메뉴부터 안주메뉴까지 다채로운 곳이이에요. 매일매일 직접 만드는 수제반찬이 무한리필~ 특히 싱싱한 상추에 싸먹는 오징어튀김이 별미에요ㅎㅎ","양념이 너무 짜요 ㅋㅋㅋㅋ
글두 가격대비 맛나요>_<"
,베트남에서 먹어본 적은 없지만 제가 이제까지 먹어본 쌀국수 중에는 가장 맛있었네용 볶음밥도 너무 맛있었구..전부 고기베이스인데도 가게 안에서나 음식에서 잡내 하나도 없이 깔끔해서 매우 만족했습니당?? 다음에는 그 유명하다는 분짜를 먹어봐야겠어요! 그리고 저는 혼자 간건 아니었지만 혼밥하는 분들도 많았구 혼밥하기 좋은 장소인 것 같아요!,맛있어요,푸짐하고 맛있어요.,,,1년 만에 왔는데 여전히 맛있네요???? 순살 안 좋아하는데 여기는 순살도 맛나요!,,.,인생술집 ! 너무 친절하시고 맛있어요 ????,양 많고 맛있어용,,"큼직한 오징어 많이 들어있고 메뉴들 다 맛있어요!
튀김도 큼직 수육도 부드럽고 너무 맛있어요 ????",좋아요 좋아요 좋아요
,진짜 맛있어요!!! 분깐조가 너무좋아요,피칸테파스타 짱짱 맛있어용! 독특하고 맛도 좋고 ㅎㅎ 그리고 신촌에 몇 없는 감성 분위기 맛집♥?,쏘쏘,,,"??????

순살후라이드 맛있어용

근데 항상 시끄럽고 소스 더 달라고 부탁드릴 때마다
소리 질러야 해서 불편해요 ㅍ",,"맛이 좋습니다!!
닭이 맛있고 국물이 담백해요",너무 맛있어요 ! 직원분들도 너무 친절해요 ??,24시간 운영하는 샐러드집인데 먹고 갈 수 있어서 좋네요 맛도 좋고 자주 올 거같아요!,,"음식 너무 맛깔나게 나오고 매장 깔끔하고 좋아요!
술 한잔 안할수가 없어서 한병만 시켜봅니다.","메뉴 구성은 좋은데, 양념된건 너무 달고... 삼겹살은 질이 그닥"
,"?? ??
비오는날은쌀국수지 ㅋㅋ",사회적 거리두기 2.5단계 끝나고 점심먹으러 갔는데 식재료관리가 잘 되어 있었어요,ㅎㅎ,,,여자 알바 불친절합니다,,너무 맛있어요!!!!ㅠㅠㅜㅠㅠ,맛읶어용 !!,신선하고 혼밥하기 좋고 건강해서 좋아요,,세트 메뉴 꼭 드세요! 완전 가성비 최고??,"가성비 좋은 고깃집.
사장님이 친절하시지는 않으나 신선한 고기를 양껏 먹을 수 있어서 주머니 대학생들의 핫플."
,말이 필요없눈 맛집이죠 초심을 잃었다지만 여기만큼 맛있는 분틧능 찾기 힘들어요~,신촌 최애 파스타집!!! 피칸테 파스타는 어디서도 찾아보기 힘든 맛이에요ㅠㅠㅠ 계속 먹고 싶어서 주기적으로 가는 곳????,여기가 덮밥 맛집이네요,,,"학교 다닐때 자주 가던 추억의 치킨집????
아웃닭 말모??늘 바삭바삭 맛있어요??",,여기 분위기도 신기하고 신나고 사람도많고 좋앙ㅎㅇㅛ,친절하고 좋아요.,비프 와사비 덮밥 맛있고 24시간 운영해서 편해요????????,,"예약하고 갔는데 직원 실수로 다른분들이 앉아서 한참 기다린 후 자리에 앉을수 있었는데 자리 마다 키오스로 되어 있어 편하게 주문 하고 맛있게 먹고 왔어요.
사장님이 미안하다고 하고 서비스로 군만두도 주시고 주문한 음식 먹고 기분 나빴던 마음이 풀렸어요 ㅎ",굿
,굿 맛있어요,친구랑 갔는데 만족,맛나요,,,"첫번째 방문하고 맛있엇 갔는데
내부가 너무 덥고 사람이많아 정신없었어요 ~ ㅠㅜ",,항상 맛있는 유닭스토리,"오랜만에 신촌에서 식사를~ 브레이크타임없이 없어서 이른 저녁이었지만 식사를 할수있었어요~ 보통맛(신라면)시켰는데 매콤하게 잘먹었습니다. 세트시켜서 부침,주먹밥,계란찜 다양하게 먹었어요. 소고기라 그런지 양이 좀아쉬워 1인분 추가했어요~",맛있게 잘먹고갑니다!!,,건강한맛입니다..집에서 엄마가 해주시는맛입니다.돈주고사먹기에는 양념이 너무 심심해요.매운맛이땡겨서 왔는데 다음엔 다른곳 찾아갈듯,
,매장은 좁지만 맛집,장어구이를 먹었는데 무난한 편입니다. 저번에 방문했을때는 웨이팅이 길어 포기했던 기억이 있네요.,홀에서 먹으면 서빙하는 남자의 욕지거리를 들으며 밥먹을 수있습니다. 배달주문 오는걸보며 'C8 x같네'를 외치면서 일하세요. 진짜 밥먹는 내내 저야말로 x 같았습니다. 더구나 음식도 엄청 짜요. 밥 좀 더 달라고 하고싶었는데 면상에는 아니더라도 나가고 나면 얼마나 또 욕을 해댈까 싶어서 그냥 후딱 먹고 나왔습니다. 재방문의사 절대 x,,,맛있습니다,,맛있어요~^^,좋아요,맛있어요,,친구랑 둘이서 오적한상 먹었는데 가성비가 진짜 좋네요!! 끊임없이 음식이 나와서 둘다 놀라고 양에 놀라고~~ 신촌 들릴일 있으면 또 갈 것 같아요!,솔직히 화로상회 때문에 신촌 갑니다..ㅋㅋㅋㅋㅋ 다른 지역 화로상회도 가봤는데 신촌 화로상회가 최고??????고기 맛도 최고고 사이드도 고퀄입니다?? 다른 얘기지만 사장님 ㄹㅇ포스있으신데(약간 마동석같으심) 알고보면 개그캐이십니다. 다음에 mbti 여쭤봐야겠음 어쨌든 너무 재미있으세욬ㅋㅋ아 사진보니까 또 먹고싶네요ㅠ 냉면 진짜 맛있으니까 냉면은 필수..전문집 냉면보다 더 맛있어요. 비빔냉면에 물냉 동치미 육수를 살짝 주시는 설렘 포인트까지;;;:;: 그거 자작하게 부어서 섞어 먹으면 그 순간 걍 숨 멎어도 후회 없을듯?? 진짜 너무 완벽해서 더 이상 할말이 없네요ㅠ 고깃집인데 냉면을 전문점급으로 하시면 다들 어떻게 먹고 살라는..항상 응원합니다?? 이 완벽한 맛과 퀄리티에 늘 감탄ㅠ사장님 ??번창하세요!!
,맛있는데 좁아요,"반찬으로 단무지랑 피클 줄때부터 사실 알아봤어요....
먹을만하지만 깊이있는 맛은 아니에요 그래도 분위기는 좋아요",여기가 사케동 맛집이네요,,,,,"아는 분들만 아는
신촌 닭한마리 맛집

그래서 데려갔습니다.
왜 웨이팅이 있는 지 납득한 남자친구
닭한마리의 매력에 입덕 완료????

앞에 6팀인가 있었는데
회전율이 나쁘지 않아서
20분만에 자리 났어요.

역시 기다리고 먹어도 되는 맛집
맛있게 먹는 방법이 있어서
참고해서 먹으면 됩니다.
리뷰이벤트 하면 음료수 공짜로 득 가능",점심 정식으로 약간 비싸기는 하지만 잘 나와요,"너무맛잇어용~!~!~! ㅎㅎㅎ
플레이트 양도 타지점에비해많은거같아요!!!!",,"오징어 요리가 볶음, 튀김, 무침까지 다양하게 나오고 삼겹수육까지 같이 나오다니.. 너무 푸짐합니다??

심지어 쌈도 셀프 리필이 가능해서 더더욱 좋았어요 ??",삼겹살이 진짜 맛있어요
,,"좋아하는 맛집인데
음식이 좀 늦게 나와요

급하신분들은 가면 안돼요.!",좋아요,,,"신촌 #아웃닭 더우니까 치맥으로,??
개인적으로.. 뼈있는 치킨을 좋아하지만..??
앞으로는 밖에서는 순살로 먹을께요...ㅋㅋㅋ
#신촌맛지 #치맥 #치킨엔맥주",,맛나요,세트메뉴 가성비가 좋고 친절해요,채소가 되게 신선한 것 같아요!,,"매콤한 오징어 볶음, 꽃삼 수육, 오징어 튀김까지~
한상 안주가 너무 푸짐하고 맛도 훌륭합니다!!!
비오는날 술이 그냥 막 들어가네요!!!!","저는 고깃집가면 화장실부터 써보는데 화장실이 진짜깨끗해요.. 주방도 깨끗한거같구 !
그리고 고기질이조아여 !!!! 갠적으로 닭갈비는 구냥 그래ㅆ지만.. 그래도 짖짜 전체적으로 갓성비 체고에오.. 그중에 껍데기랑 막창이 젤 마싯슴 !!!"
,혼밥하기 좋은 공간입니다 예전만하진 못하다만 ㅠ,항산 맛있어요! 소개팅장소로도 좋지만 음식은 천천히 나와요. 좌석 수는 별로 없어요,존맛,,,좋아요,,매장 분위기도 좋고 음식도 맛나고 좋네용,"양도 많고 맛도 좋고, 맵기 조절이 10,20% 이런식으로 섬세하게 할 수 있어 맵찔이인 저두 맛있게 먹었습니다! 계란이 진짜 맛있어요 ㅠㅠ 고기도 입에서 녹아보림~><",좋아요,,맛있어요!,사진을 보니 또 심장과 위가 웅장해지네요.. 진짜.. 아니 여러분 화로상회는 고기도 냉면도 개쩔지만 파!!!!채!!가 진짜 대박입니다. 제가 원래 파를 안먹는 사람인데 친구가 강추하길래 궁금해서 먹었다가 그대로 화로상회 파채에 입덕하게 되었습니다. 그냥 드셔도 맛있지만 파채에 ??달콤이+매콤이??를 섞어 드셔야해요!!!!! 진짜 물회..? 파김치..? 맛도 아닌 무언가이지만 아니 진짜 이런 반찬은 처음입니다. 너무 맛있어요.. 그래서 고기 구워질동안 그거 흡입하는데 이 채소 쪼가리가 뭐라고 너무 맛있어서 매번 눈물 날 것 같아요. 정말 너무 맛있습니다.. 배고파서 죽을 것 같은데 고기는 아직 익어가는 중이다..그렇다면!!! 파채로 생명 연장 하시면 됩니다!! 기억해주세요!! 파채를!!~~파채 최고!!!!
,"간단한 메뉴
웨이팅이 있어 기다려야함.",매우 느린데 맛있어요,굿,,,"엄청 간만에 주문~ㅋㅋ
예전엔 감튀 엄청 마니 주셨는데.ㅎㅎ
맛있게 먹었습니다.",,너무 맛있아요어오????????최고 늘오는 곳,굿,프레퍼스는 신촌러라면 꼭 먹어야 하는 곳이에요 강추추추!!!!,,오적한상 가성비 끝내줍니다. 오징어볶음은 느끼하지 않고 오징어가 실하고 수육하고 오징어초무침 밸런스도 좋아요. 오징어튀김까지 제대로 튀겨내는데라 오징ㅇ어 좋아하는 사람들한테는 극락,굿
,맛있어요!!!!,그냥그럼..비쌈,,,,"계산하려고 앞으로 나가니 여자 아르바이트 직원이 턱짓으로 반대편을 가르키네요. 뭐하는 사람인지;
턱으로 가리킨쪽으로 반대편 돌아서 계산대로 갔는데 앞에 온거 뻔히 봐놓고는 갑자기 뒤돌아서 다른일 하면서 딴청 피우네요. 한참 기다리다가 사장님이 대신 결제해주셨습니다.
치킨집에서 뭐 대단한 서비스를 바란건 아니지만 그래도 손님한테 턱짓으로 방향을 가리키는건 좀 아니지 않나 싶습니다.
이 직원 또 볼까봐 다음 방문이 꺼려지네요.

그 직원분은 다음에 식당에서 자기랑 똑같은 사람 만나기를 기원합니다",,"맛집오브 맛집이에요.
신촌가시면 꼭 가보세요",매운갈비 맛있게 먹었어요!,신촌 프레퍼스점 항상 맛있고 청결해서 자주 오게 되는 것 같아요~????,,돌판오징어 맛있게 먹었습니다??,굿
,"분짜 맛집이라 자주 방문하는 단골 맛집

분팃능이라고 하는 분짜가 정말 맛있어요",블루베리피자 존맛,조아용,,,"주말 저녁 오랜만에 아웃닭 방문했습니당! 저녁 7시 넘어서 방문했는데 웨이팅 명단에 이름 적고 15분 정도 기다린 것 같아요! 호바트 매콤소이마요랑 양념 반반 해서 먹었는데, 호바트는 확실히 청양고추?의 향이랑 맛이 느껴져서 매운 걸 잘 못 먹는 저에겐 조금 매운 맛이었어요! 양념은 흔히 아는 달콤매콤한 맛있는 양념 치킨입니당?? 양배추 샐러드 더 추가해서 먹고 싶었는데 샐러드가 부족해서 리필이 안 돼서 아쉬웠어요??",,맛있어서 재방문했어요 감사합니다 !,사좡님이 매우 잘생기고 친절해용??,가볍게 먹으러 오기 좋아요!! 혼밥하기도 좋아욥,,맛있어요~~!,굿
,,"크림 파스타가 다른 집 보다 훨씬 꾸덕해서 좋았어요ㅎㅎㅎ 크림을 좋아해서 아주 만족스러웠습니당!! 2인 3메뉴 시켰는데 가성비 좋고 배부르게 잘 먹었습니다??
육회사케동 맛집이라고 해서 갔는데 다른 메뉴들도 다 맛있었어요","주위에서 맛있다고 해서 네이버에서 첫 주문 했는데 주문확인을 못하신건지.. 한참동안 확인이 없어
전화로 말씀 드린후에야 인지하신거 같아여
다음엔 확인 부탁드립니다
음식은 맛있게 잘 먹었습니다",,,,,非常好吃 ??,친절하세요. 맛도 짱,조아요,,한상 제대로 나와서 든든히 먹을수있어서 좋았어요!,여기가 돼삼이 맛집이네요
,"줄서는 식당이라고 햇어 딸이랑 갓는데 줄설만 하네요
맛잇게 잘 먹었어요",맛 좋아용!!!,굿,,,??,,맛있어요 자주 옵니다!??,????,너무 맛있어요 다이어트로 짱짱맨,,"처음 방문해서 먹어봤는데 , 직원분들도 모두 친절하시고 음식도 맛있고 청결해서 다시 방문하고 싶어요!",무한리필 고기 별로 안좋아하는 편인데 여긴 맛있어서 또왔어요 !!!! 막창도 맛있고 닭갈비도 맛있어요 ㅎㅎㅎ
,분짜 먹고싶을때는 무조건 신촌으로 와서 맘맘테이블에 오면 됩니다 !!!! 진짜 넘넘 맛있어요♡,,좋아요,,,굳굳,,"진짜 너무 맛있고 양도 많고 깔끔하고 잡내도 없어요
사장님도 엄청 친절하시고 좋아용??",맛있어요! 굿굿,저번에 먹었는데 맛있어서 또 왔어요!! 이번에도 양이 많아서 좋네요!ㅎㅎ,,"오적한상을 먹었는데 정말 맛있어용!! 모든 메뉴가 맛있고 양도 푸짐해서 온 가족이 와서 먹기 너무 좋구요!
반찬도 매번 가져다 먹을 수 있어서 좋고! 내부도 넓어서 좋습니당??",통삼겹이랑 껍데기는 무조건 화로상회에서 먹어야해요. 너무 맛있어요!!! 통감자된장찌개 꼭 먹어야해요. 또 먹고싶네요????
,,맛있는데 피칸테파스타는 간이 조금 쎄요!,"돈까스, 새우튀김 등 믹스할 수 있는 선택지가 많아서 좋아요",,,,,지일이이이이이인짜 맛있어요 이게무슨일이야 내가먹은 닭칼국수중에 젤맛있음 직원분들도 친절하시고 여긴 김치가 ㄹㅇ 맛도리 김치맛있는곳은 솔직히 맛없을수가 없음 레알임,굿,신선하고 맛있어요!!,,간만에 딱 좋은 음식점 발견! 음식 정말 맛있고 매장도 청결하고 특히 머리 염색한 직원분 너무 친절해요,좋아요
,굿굿,맛있어요!!,굿,,,얘기할때좋아요,,너무맛있어요 굿굿♡,굿,맛있어요???? 다이어트 할 때 항상 옵니다 !!!,,,종류별로 시킬 수 있는게 많아서 좋아오! 다만 매장이 그리 넓지 않아서 피크타임때는 오래 기다려야 하네요
,남자친구랑 감탄하면서 먹었지 뭐에요.. 추천!!??,"음식 나오는 시간이 오래 걸려요.
파스타가 기대이상으로 맛있었습니다. 피자는 기대이하였어요.",굿,,,평일 방문했는데 웨이팅없었어요.! 맛있어요.??,,늘 찾아오는 이곳??맛있어요,좋아하는 체인이에요~ 믿고 가용,??????????,,신촌 현대백화점 갔다가 밥먹으러 갔는데 너무 추짐하게 한상가득 나오네요???? 오징어가 신선해서 그런지 부드럽고 맛있어요~! 수육도 야들야들하니 오징어볶음이랑 같이 쌈싸먹으니 맛있네요 양이 너무 푸짐해서 남은 음식은 포장해서 왔어요~!,
,분짜는 맘맘,맛있어요!!! 저는 파스타랑 피자가 좀 더 맛있습니당,맛있어요,,,맛있게먹었어요,,뜨근하고 시원하니 속에있는 감기가 다 도망가는 기분입니다.,소갈비찜 맛있어요,양도 되게 많고 채소도 신선한데 맛도 있어서 매우 추천합니다!!,,"신선한 재료때문인지, 너무 맛있어요~푸짐하고 맛있어서 친구모임 하기 제격입니다.사장님과 직원들도 친절합니다.덕분에 좋은 시간 보냈습니다~~",고기뷔페랑 비슷하고 고기들이 신선하고 맛있습니다
,웨이팅 조금하고 들어갔는데 역시 존맛이에용,짱맛 재료가 신선해요,육회덮법 육회가 신선하고 량도 괜찮고 맛있어요.,,,,,사람도엄청많고 맛있게잘먹었어요!!,너무 맛잇써요우ㅜㅜ,"저번에 한번 먹었는데 맛있어서 또 포장 하러 왔어요
파스타가 ㄹㅈㄷ 맛집입니다",,"??싱싱한 오징어를 다양하게 맛볼 수 있는 곳이에요!
오적한상이면 꽃삼겹수육에 돌판오징어볶음,
오징어초무침에 오징어튀김까지 모두 맛볼 수 있는데
심지어 싱싱한 쌈과 반찬들과 냉국에 숭늉까지
셀프바에서 무한으로 먹을 수 있어서 넘 좋아요 :)",맛나요
,알차고 괜찮,여긴 언제나 맛있서용,굿,,,항상 맛있는 아웃닭!,,쌀쌀한 날씨에 딱 어울리는 메뉴에요!,,건강하게 한끼 먹기 너무 좋아요!!,,매장도 넓고 깔끔했습니다. 오적 한상인데 둘이서 먹기 양이 너무 많았습니다. 오징어볶음 튀김 무침 그리고 수육 까지.. 가성비 갑!!????,맛있어요
,분짜 똠양꿍 짜조 먹었는데 맛있었어요~ 똠양꿍은 생각보다 시지 않아서 먹을만했어요,조큼 짜지만 마싯어요,김치치즈가츠동 낫밷,,,굿,,"닭고기에 철수세미가 박혀있던 건에 대하여

신촌역에 볼일이 있어 2024 ”블루리본“ 에 선정된 유닭스토리를 방문하였다.

맛은 좋았다.

닭고기에 붙어있는 철수세미를 보았다.

첫 방문에 첫 수세미?
과연 처음일까?

합리적인 의심이 드는 점심이었다.",셋트시켜서 완전 맛나게 먹었어요,"샐러드파스타 먹으러왔어용
너무 맛있어요??",,"오적한상 메뉴 먹었는데 다양한 메뉴를 한번에 즐길 수 있어서 너무 좋았어요. 꽃삼겹수육은 잡내없이 야들야들한게 부드러워서 좋았고, 돌판오징어볶음은 양념이 진짜 끝내줘요. 공기밥에 양념 비벼서 먹으면 진짜 밥한공기 금방 뚝딱입니다. 오징어무침도 수육이랑같이 즐기면 보쌈처럼 먹을 수 있고, 맛있어요. 여기 진짜 갓성비 맛집인게 점심에 방문하면 공기밥 무한리필 가능하고, 쌈채소랑 반찬도 셀프바에서 무한리필 가능해요. 특히 쌈채소는 케일까지 있어서 진짜 좋았어요. 갓성비 맛집으로 술한잔하기에도 너무좋고 메뉴자체가 워낙 호불호가 없어서 가족모임으로도 추천드립니다.",좋아요
,"가성비 맛집! 베트남현지 느낌이 팍팍
싸고 맛있게 가볍게 먹을수 있어요",핵맛,덮밥 양념이 너무 부족했어요 ㅠㅠ 마지막에는 거의 맨밥 먹었네요 다양한 메뉴 간단히 식사하기 좋아요~,,,"오랫만에 맛있은 치킨 먹었어요.
직원분도 친절해요..",,너무 맛있어요 ㅎㅎ,맛있어요,항상 맛있게 먹고있어요!,,수육에 오징어볶음에 오징어튀김에 볶음밥까지 볶아서 먹었더니 한끼뚝딱! 장수막걸리 한잔 곁들이니 너무 맛있었습니다 ㅎㅎㅎ,고기 종류도 다양하고 맛있어요 :-)
,맛있어요 근데 양은 적어서 아쉽,음식이 너무 느리게 나와서 짜증났지만..맛있어요,오래전에 자주 다녀서 오랜만에 방문했는데 맛도 맛이지만 음식하시는 직원이 음식할때는 마스크를 내리고 손님 맞을때는 마스크를 착용하더라구요. 코로나19 시국에 많이 불편 했습니다.,,,좋아요,,너무 맛있게 먹고갑니다~~~,굿,맛있어요!,,맛있어요,굿입니다
,베트남 음식점 신촌 1위,여기 왜 일식으로 분류됨...? 너무 고평가되어있어요 ㅠㅠ 피칸테파스타 라면스프 맛 남..,"몇년전까지 자주 방문하다가 오랜만에 방문했는데
앞으론 방문할 일 없을거 같습니다

조리하시는분 처음부터 끝까지 마스크 턱스크로 끼고직원이랑 대화하고 요리만들고

요리자체도 토핑이 너무 부실하네요
김가루에 볶은 양파 쪼금 계란 쪼금 그냥 소스 왕창 부은 밥에 튀김 얹은 느낌입니다 요리가 아니라 조립한거 같은 느낌이에요
간도 너무 짜구요 구성도 부실해졌네요

조리하시는 분 코로나 위생
현저하게 떨어진 맛
적어도 너무 적은 토핑과 구성
고기도 적고 별루인 튀김
짜기만한 밥

사장님껜 죄송하지만 앞으론 안가겠습니다

다른사람에게 예전에늠 적극 추천했으나 이젠 추천 못하겠네요",,,"왜 치킨 사진 없지…
맛있었어요 치킨
맥주타워 신기해서 시켰는데 사용할 수 있게끔 설명 잘 해 주시고 세팅해서 감사했습니다
사장님 친절하세요",,맛있습니다!,굿,"여긴 정말 올 때마다 기분이 넘 좋아요 분위기도 좋고 밥도 건강식인데도 너무 맛있게 잘 나와요! 언제나, 데일리로 매일 와도 질리지 않고 먹을 수 있네요!",,신촌 맛집~ 제육 오징어 수육 생각나심 강추~~//,맛있어요
,지금까지 먹은 쌀국수 중에 제일 맛있어요~,음식 맛에 비해 가격이 높네요. 딱 쇼핑몰 푸드코드 맛 정도임.. 재방문 안할 곳,신촌 3년 살면서 몰랐다니.. 넘 맛있음,,,"양도 많고 감튀떡 토핑도 맛있고 분위기도 괜찮아요 웨이팅걸어놓고 아트박스 다녀오니 금방 전화왔어요ㅎ 웨이팅하기 잘한듯!
담에 다른치킨메뉴도 먹어보려구용",,"친구 소개로 온 신촌 유닭스토리!
한명씩 먹기 좋은 신기한 메뉴에 맛도 너무 맛있었어요~ 사장님도 정말 친절하세요ㅎㅎ",굿,"음식도 빨리 나오고 내부도 깔끔해서 좋아요 !
종종 이용합니다 ㅎㅎ",,"오징어 요리가 이렇게 맛있는 줄은 몰랐어요!
여자친구와 둘이서 배부르게 잘 먹었답니다!
다음에 또 방문할 거예요??",무한리필같지 않게 고기질이 좋아요 밑반찬도 신선하고 너무 맛있게 먹었어요:)
,와아아아아 진짜 너무너무너무너무 맛있어요 가성비도 미쳤고 양도 많고 진심으로 애정합니다 자주 올게요??,,좋아요,,,맛나요,,맛잇게 잘 먹고 갑니다 -!,세트메뉴 저녁에도 있어서 좋아요,샐러드 양이 많고 맛있어요!!,,"검색하고 왔는데 넘 맛잇어요
담엔 셋트로 먹고 싶어요",맛있어요!!
,쌀국수 국물이 맑고 깨끗하지만 맛이 잘 우러나있어서 좋아요 고기랑 어묵도 적당히 들어있고 양도 넉넉한 편입니다,,좋아요,,,"왁자지껄하게 장사 잘된 가게의 분위기를 오롯이 느낄 수 있음
재방문 의사 있음!",,신촌 닭한마리 맛집이에옹!!! 비오는 날 따뜻하게 한끼하기 넘 좋습니당 ㅎㅎㅎ,좋어요,항상 건강한 한끼 먹고싶을 때 찾는 프레퍼스 신촌에서도 있어서 좋아영 자주 올게용,,2~4인이 조용하게 술한잔 하기 좋아요. 셋트 메뉴가 가성비 있고 맛있습니다. 직원분들 친절해요.,고기 질도 괜찮고 맛있었어요!
